epoch,psnr,ssim,epoch_time_sec,lr
0,23.5816809475132,0.6178744105757973,16.917199850082397,5e-05
1,23.564753352525432,0.6181351645267393,16.27934718132019,5e-05
2,23.595575707085178,0.6171662633573678,16.374813079833984,5e-05
3,23.572702279832995,0.6172666507525518,16.46077871322632,5e-05
4,23.56278769747082,0.6174408051084583,16.6470046043396,5e-05
5,23.578204428864176,0.616941627977989,16.566359519958496,5e-05
6,23.55809380416961,0.6168933002167724,16.668391704559326,5e-05
7,23.557960572301663,0.6170705827140186,16.49867010116577,2.5e-05
8,23.54931802553039,0.616224230022652,16.443118572235107,2.5e-05
9,23.540118818374978,0.6162530485899367,16.653090953826904,2.5e-05
10,23.537799452503254,0.6159637969410715,16.57653570175171,2.5e-05
11,23.531338896077415,0.6160827812488762,17.07172465324402,2.5e-05
12,23.53145746662715,0.6157658858749424,16.934251308441162,1.25e-05
