epoch,raw_psnr,raw_ssim,ema_psnr,ema_ssim,lr,epoch_time_sec
0,22.567357794560163,0.546191299076918,9.490197750516556,0.292827876044634,0.0002,20.19599747657776
1,22.502654037504648,0.5562144356997896,12.668371690540022,0.36566673869198035,0.0002,19.600897550582886
2,23.050685741807495,0.5667085153656254,15.475451417357858,0.4164672862199894,0.0002,19.287364959716797
3,23.148953318989033,0.576474671278876,17.818879951828393,0.45616046528347587,0.0002,19.578548669815063
4,23.174295791200716,0.5825361439193104,19.619753500835664,0.48894070839893156,0.0002,19.603965044021606
5,23.198631719424785,0.573276932753258,20.84002954047708,0.5143280559476422,0.0002,19.554099798202515
6,23.25542438679517,0.581577044590165,21.58376115574319,0.5310051265099305,0.0002,19.763015508651733
7,23.29352355435397,0.5872659560981768,22.01299335201971,0.5405054017409355,0.0002,19.59694480895996
8,23.345281377252075,0.5810149378952011,22.30883312035762,0.5471146028501549,0.0002,19.456207990646362
9,23.36617692923667,0.5866214711446965,22.566950496676796,0.5547465228408993,0.0002,19.46016216278076
10,23.33497630377797,0.5869411892479458,22.804275520213174,0.5632465257347832,0.0002,19.794779300689697
11,23.40996202799578,0.5876794123839311,23.012086985785654,0.5711226344722506,0.0002,19.362850427627563
12,23.274687512380282,0.5873803073061503,23.1632588043043,0.5767326849209319,0.0002,19.537415504455566
13,23.470189385144774,0.5885500260370453,23.27152188288712,0.5808409772092766,0.0002,19.67321014404297
14,23.482225453661908,0.5866753490936328,23.35075994261333,0.5838758760333194,0.0002,19.561155796051025
15,23.461619067492137,0.5926563459085491,23.40998433855334,0.58633657868012,0.0002,19.31933331489563
16,23.430698667054084,0.5943539818609035,23.45177163696388,0.5883315553943324,0.0002,19.27353048324585
17,23.494836704100013,0.5925076722334472,23.48255157740027,0.5899954794868375,0.0002,19.79220747947693
18,23.49089654677716,0.5962349869513257,23.505247286347018,0.5914523295072245,0.0002,19.63432264328003
19,23.50880888010232,0.5925869769820177,23.5236163892514,0.5927300706215879,0.0002,19.803075313568115
20,23.505085421250072,0.5971482083012974,23.539681520476393,0.5940272581366639,0.0002,19.779367685317993
21,23.494071205398157,0.5990458050969908,23.552741729809362,0.5951973429880077,0.0002,19.417723894119263
22,23.57341018527016,0.600031477653,23.566015203233405,0.5962538941392794,0.0002,19.755340576171875
23,23.54184120556942,0.5981279748112199,23.578758123564455,0.5971866208472607,0.0002,19.777862787246704
24,23.576044112821936,0.597176723902288,23.590776327581146,0.5980611271442176,0.0002,19.396363735198975
25,23.588126808879956,0.5974426631389234,23.60156464680467,0.5989527012326802,0.0002,19.716071605682373
26,23.52526039357014,0.6004341405007995,23.611224176813263,0.5998367604797227,0.0002,19.819629192352295
27,23.508085050292628,0.6000906722240792,23.6210083863707,0.6006440381104858,0.0002,20.018250465393066
28,23.607013103669793,0.5999892496876279,23.630565459193864,0.6013746687462735,0.0002,19.485864877700806
29,23.6320953491956,0.603729340208973,23.638894594533408,0.6021156039062978,0.0002,19.654563426971436
30,23.622404154848795,0.6019165819272041,23.646744994724536,0.6028321473228059,0.0002,19.051201105117798
31,23.606827033629965,0.6055774341686622,23.65430495025459,0.6034904591121328,0.0002,19.687604188919067
32,23.517219552550593,0.6055617985621456,23.66071003380345,0.6040676944257538,0.0002,19.51701259613037
33,23.617550676820798,0.603974169845092,23.667510168906414,0.6046058908847028,0.0002,19.624651432037354
34,23.61812582058546,0.6063976982730158,23.673133122599925,0.6051718944363018,0.0002,19.567843914031982
35,23.652954384992732,0.6064614291762656,23.679291186040388,0.6055978817491563,0.0002,19.62164306640625
36,23.629468289612984,0.6056596840737836,23.684447958118817,0.606052211288121,0.0002,19.76180934906006
37,23.560316089982173,0.607551618011792,23.68938037070617,0.6064954707297814,0.0002,19.909709215164185
38,23.63503922267264,0.604550347770568,23.69462244206476,0.6069771717574359,0.0002,19.644237995147705
39,23.67189507828115,0.6053796543251998,23.699415627598775,0.6073626742412539,0.0002,19.692118167877197
40,23.633469866608678,0.6079306181171531,23.703968373858423,0.6077537846269584,0.0002,19.955033540725708
41,23.615744380187582,0.6094062447680259,23.708419910281787,0.6080952926129443,0.0002,19.49353313446045
42,23.681453347871997,0.6080262040053116,23.71236455239566,0.6084283793777695,0.0002,19.818958520889282
43,23.68304722948874,0.604537920952636,23.715848594865513,0.6087492535379999,0.0002,19.66247010231018
44,23.664565662829354,0.6098463136595806,23.719583562389495,0.6090411098677687,0.0002,19.704530239105225
45,23.70701604033727,0.6065532328880521,23.72368294974916,0.609237487157987,0.0002,19.424157857894897
46,23.650123801600667,0.6085668123014413,23.727386480139593,0.60946432198744,0.0002,19.833084106445312
47,23.660735633787276,0.6109976105949736,23.730260033404953,0.6096961950050537,0.0002,19.199126958847046
