file,psnr,ssim,lpips
000015.npy,24.3337107991045,0.6499448627425635,0.13957622647285461
000030.npy,23.37957563533631,0.6053840212908145,0.18940027058124542
000088.npy,22.139576525955455,0.5620257151604025,0.21204066276550293
000093.npy,22.642495638496428,0.37625375938191546,0.22729134559631348
000167.npy,22.44406952377205,0.6413741780700162,0.14018768072128296
000194.npy,21.4137788828278,0.30711265358453627,0.17348842322826385
000215.npy,20.880732247648744,0.44524071598794174,0.20776569843292236
000295.npy,24.617755915715996,0.5818101356467307,0.21208426356315613
000318.npy,22.70999368400393,0.6105096691056369,0.20044682919979095
000319.npy,22.851034937255555,0.628539145645791,0.15570858120918274
000347.npy,20.104509847275626,0.4395252163485866,0.24030035734176636
000366.npy,24.354088312496465,0.4555740568194808,0.1530807763338089
000371.npy,25.163194114147704,0.46505428461896253,0.17522960901260376
000388.npy,23.101866843805247,0.46902876953844724,0.1757773905992508
000424.npy,20.018277537578513,0.4535403232264556,0.21098297834396362
000432.npy,22.957953156276112,0.5741662390398283,0.17254921793937683
000439.npy,23.513078744965146,0.3738439256697409,0.19517840445041656
000520.npy,23.328728004204926,0.5260622961985735,0.2039150595664978
000562.npy,23.532815389863345,0.5879132220055965,0.16035300493240356
000596.npy,22.238230124149403,0.5179855013000311,0.2561810612678528
000630.npy,21.86242646007703,0.5417577508182312,0.17616118490695953
000653.npy,20.99762241039444,0.4256122349241398,0.2150881439447403
000743.npy,21.05395166851271,0.4774219767701495,0.21218553185462952
000813.npy,23.96259567387733,0.5838669800610032,0.1310814917087555
000819.npy,25.526705116923022,0.4304034595979154,0.1617414355278015
000889.npy,23.410217724258906,0.6101662224031538,0.15682263672351837
001014.npy,20.568673912001998,0.5666521327930681,0.1507350206375122
001100.npy,20.707827823373833,0.4395517432035529,0.1878076046705246
001119.npy,26.14950861882049,0.4808733084339462,0.1376989781856537
001122.npy,22.17491062709881,0.4947579662444927,0.20347627997398376
001132.npy,22.689064766049665,0.3016115499111926,0.14474409818649292
001199.npy,22.883109433219136,0.636130454669809,0.16328981518745422
001221.npy,21.346978796600048,0.44303706665537734,0.22327977418899536
001272.npy,22.639182796047102,0.5513262069680439,0.19727502763271332
001316.npy,23.76599834768083,0.6138097451517349,0.16631287336349487
001342.npy,22.62647200632515,0.5980276384642013,0.22205747663974762
001361.npy,23.52063614807081,0.4717236219628183,0.2003192901611328
001409.npy,21.297962125771733,0.5977919861343319,0.15393374860286713
001415.npy,25.33028859844782,0.45888207913465423,0.26267385482788086
001436.npy,24.919085238309272,0.33995931070326896,0.14115461707115173
001590.npy,23.37160825538309,0.6121702506845202,0.16839298605918884
001592.npy,22.319512845955174,0.6170716950769555,0.18087367713451385
001664.npy,21.153595267020844,0.2863458673068129,0.15046705305576324
001666.npy,22.401342250694203,0.7116936132332683,0.15338361263275146
001672.npy,21.405776063666544,0.3308650319280122,0.22068992257118225
001727.npy,24.210925616874203,0.5565095347885215,0.13587859272956848
001733.npy,20.83538525857206,0.3063838227507363,0.22029757499694824
001747.npy,21.866338744312415,0.5238535522938147,0.17650501430034637
001754.npy,22.299921371604775,0.5567411196708382,0.11071337759494781
001793.npy,23.536491770374717,0.5992984702711054,0.19437052309513092
001825.npy,21.780919628136246,0.6165112828141059,0.17188884317874908
001835.npy,21.175592502146582,0.45335892003020084,0.21398290991783142
001891.npy,29.594490111287758,0.740129271728579,0.1388821005821228
001992.npy,29.389103921092982,0.748177190563798,0.12295685708522797
002203.npy,28.000783916879488,0.7934963551669866,0.09816166758537292
002230.npy,25.083424278772316,0.4720283923042598,0.14990630745887756
002241.npy,26.348544502967876,0.7302177282805145,0.14516960084438324
002243.npy,26.39544425594673,0.7077105083360961,0.15595154464244843
002253.npy,25.11348026255828,0.702199629298225,0.15059968829154968
002284.npy,19.78582747870555,0.33770300593902625,0.2225147932767868
