epoch,psnr,ssim,epoch_time_sec,lr
0,23.71373315542254,0.6146209713890515,17.967650890350342,5e-05
1,23.702461296108517,0.6151124868739212,17.656021118164062,5e-05
2,23.73069556226458,0.6138256101374061,17.634072065353394,5e-05
3,23.711649032690325,0.6141268264401084,17.58152151107788,5e-05
4,23.703359551825248,0.6146500647246442,17.573166847229004,5e-05
5,23.70991267258872,0.6140619551942857,17.57686448097229,5e-05
6,23.703322727487688,0.613698471460748,17.536508560180664,5e-05
7,23.70169228844551,0.6141884236584809,17.601482391357422,5e-05
8,23.688399093546145,0.6136076906369334,17.61697816848755,5e-05
9,23.687928323815356,0.6130783702374437,17.76791262626648,2.5e-05
10,23.68324086427177,0.6136773547900894,17.58318257331848,2.5e-05
11,23.679287959784812,0.6131726790917658,17.57357168197632,2.5e-05
12,23.675845910148404,0.6128293444866943,17.57042145729065,2.5e-05
13,23.671796029381724,0.6128571289419626,17.600089073181152,2.5e-05
14,23.669730836528185,0.6126401309699417,17.52651572227478,2.5e-05
15,23.66811005110496,0.6123419295051362,17.52837038040161,2.5e-05
16,23.66189959838513,0.6121426768151561,17.577567100524902,1.25e-05
17,23.657262805044912,0.6122443852382923,17.570207834243774,1.25e-05
