a,c,e,L_gain,K_poisson,sigma_A
0.021931846315878273,0.01234193419845645,1.9836185285006425e-07,45.5957964321507,81.02457717892108,0.00044537832552793167
0.02445432101916658,0.010456945159773558,1.173920874794124e-06,40.89256860643276,95.63022323640595,0.001083476291754519
0.0290907762985566,0.008580336804218823,2.1747323650880246e-07,34.37515691355466,116.54554160488374,0.0004663402582973107
0.02689305898364163,0.009228599079265477,3.665205956842848e-06,37.18431587155165,108.35880846170555,0.001914472762105235
0.025016040194743794,0.010731671020669804,1.6562042013480634e-06,39.97435214427395,93.18213333915506,0.001286935974067111
0.02254823200268324,0.011568906128707116,1.612323435570482e-07,44.349375147506024,86.43859573884839,0.00040153747466089413
0.023844787823441498,0.010736821058554087,7.426070029054156e-07,41.93788627537768,93.13743747301201,0.0008617464841270985
0.02535646331526302,0.009952730411355883,1.9932121092801244e-06,39.437676602085986,100.47494091259804,0.0014118116408643627
0.030880451182190512,0.007050516301108356,9.932977419221034e-05,32.382946547643826,141.8335845621402,0.009966432370322409
0.02825131512537297,0.008630221353840123,5.571698442161316e-06,35.39658226748827,115.87188311862218,0.0023604445433352836
0.024503207438532577,0.010799555741162687,1.2829057529385385e-06,40.81098372564269,92.59640155274937,0.0011326542954222787
0.019760939586041235,0.012441380542708593,9.599791056673244e-09,50.60488119230837,80.3769321714109,9.797852344607589e-05
0.022772377719128732,0.011327411447025692,2.7721782071027474e-07,43.91284969597193,88.28142287199925,0.0005265147867916671
0.02336684159903526,0.0111527967347907,4.1851563367739316e-07,42.79568532023115,89.6636084902848,0.000646927842713075
0.026696352843456946,0.009574275163524161,2.667715367378297e-06,37.458300235385586,104.44654899932013,0.0016333142279972635
0.025134342569671737,0.010666707638304396,2.007119509515805e-06,39.786200781978934,93.74963989909844,0.001416728452991541
0.02450224790489392,0.009758996873305947,9.011904647115586e-07,40.81258192642262,102.46954814949552,0.0009493105206999228
0.02913863771343695,0.007600613157793283,4.523723906634707e-06,34.318694299797734,131.56833261204076,0.0021269047714071983
0.023800623315059888,0.011436432902293068,1.2857163973459548e-06,42.01570634359177,87.43985196638495,0.0011338943501693422
0.02950310981536932,0.007575344782909082,7.110536037668271e-06,33.89473198784831,132.0071928945233,0.0026665588382160763
0.02471985492962516,0.011227722449187254,1.3995198853274807e-06,40.45331183564367,89.0652582948724,0.0011830130537434829
0.02388696433106618,0.010584462401944203,4.859614084967821e-07,41.86383778785362,94.47810970695265,0.0006971093232031703
0.027012103352411578,0.009829484188170149,5.064311582542818e-06,37.02044179801801,101.73473814663711,0.0022504025378902366
0.026289123988468565,0.009321448074275098,2.139427091692376e-06,38.03854401685803,107.2794690301128,0.00146267805469706
0.030082368131993303,0.007366472522736754,4.409656972522246e-06,33.24206377677017,135.7501839467237,0.002099918325202732
0.02963133437804464,0.007739803409915067,6.3687268637364336e-06,33.74805829672493,129.2022480466301,0.002523633662744344
0.029947056869816753,0.006770925900528446,0.00011685009220812091,33.39226303095871,147.69028855004214,0.01080972211521281
0.025477675624730696,0.010135910977304253,2.1962589317349034e-06,39.25004834543537,98.65911433507479,0.0014819780469814334
0.023362495720008612,0.01144831827067373,3.677225862481623e-07,42.80364615085016,87.34907401741464,0.0006064013409023452
0.025700680469821213,0.009923401518338955,2.144077284286716e-06,38.90947561385547,100.7718974337528,0.001464266807752848
0.027734383853650655,0.008698503939917933,4.0658357698338495e-06,36.05632651789994,114.96229775915174,0.0020163917699281184
0.024983266112658414,0.010146207274678994,1.3327013451254558e-06,40.026792153221486,98.5589957831448,0.0011544268470221298
0.02311902678528664,0.01163864389588575,4.0408483493224945e-07,43.25441590977427,85.92066300383149,0.0006356766748373339
0.02530144071415965,0.01051095024492229,2.091726990050398e-06,39.52344102841393,95.13887676169789,0.001446280398142213
0.026967733963789466,0.009012581779579653,3.5538433996524696e-06,37.081350674207016,110.95599734426376,0.0018851640246016976
0.024595422884872556,0.01001930723198639,8.344067708305596e-07,40.657971390890424,99.80729973101582,0.0009134586858914637
0.024709913977073276,0.0104706923588524,1.316661038709413e-06,40.46958645537313,95.50466824235883,0.0011474585128489017
0.020763702474745717,0.013008149099603754,6.705501282048061e-08,48.16096749682629,76.87488760645135,0.00025894982684002827
0.02516999119836724,0.009657373532687826,1.4194735566837054e-06,39.729851000697586,103.54782246075983,0.001191416617595921
0.020543922909413315,0.012233647786303745,2.252680265439077e-06,48.676195116649104,81.74176807015452,0.0015008931559038693
0.02322204874344478,0.011490923754793323,4.259380234468573e-07,43.06252265025859,87.02520540029343,0.0006526392751335589
0.03058603677575208,0.006971750943047224,0.00012376945220575095,32.69465760901646,143.4359902080665,0.011125172007917494
0.024004086098513542,0.010939917930412525,9.994862692247106e-07,41.659573953199796,91.40836397136407,0.0009997431016139648
0.029562820677169477,0.007758064021985359,1.1951368568333013e-06,33.82627154966547,128.89813710819197,0.0010932231505201952
0.02740679196946221,0.008564881860913537,4.213099633006532e-06,36.48730581507831,116.75584278209055,0.0020525836482361763
0.024493039436762714,0.011018270706058158,2.0097216244296525e-06,40.82792593307365,90.75834372540616,0.0014176465089822824
0.02396762054237896,0.01043003228478506,6.913331052628493e-07,41.72295694651142,95.87698030990397,0.0008314644341538905
0.026638563461014075,0.009641274273503947,2.90849839185206e-06,37.539561825978886,103.72072940069654,0.0017054320249872347
0.027714615880693606,0.009171160366662528,8.1957197046083e-06,36.08204437343886,109.0374565507581,0.0028628167431060444
0.02670805356874608,0.009395698121701046,3.211832235080743e-06,37.441889856406675,106.43168682594442,0.0017921585407214237
0.027135339971262277,0.008855720309554298,3.870433054908714e-06,36.85231145285268,112.92136213031883,0.0019673416213023894
0.03347241967866371,0.004669029351682068,0.00022141112934757792,29.875342434160174,214.1772785471437,0.0148798900986391
0.02736781933490936,0.008200306111237126,4.016111979229353e-06,36.539264884887544,121.94666716522569,0.0020040239467704352
0.02629814660201405,0.009644202983646516,2.4687782569435065e-06,38.025493398208326,103.68923193504743,0.0015712346282282309
0.029198763335636896,0.007768642272397333,5.690001022635591e-06,34.248025798390806,128.72262165463425,0.0023853723027308735
0.02464972469916632,0.010408578642771829,1.3695711876686997e-06,40.56840440225367,96.07459714919324,0.0011702867971863562
0.023927859021206477,0.011120506007783243,1.07961718456325e-06,41.79228902651645,89.92396562711264,0.0010390462860543077
0.024138090912926822,0.011124415186017278,1.397362204385029e-06,41.42829702677372,89.89236587078662,0.0011821007589816652
0.022490319331237643,0.011318817619876884,1.309465984146503e-07,44.46357498406271,88.34845065830092,0.0003618654424156171
0.026813823623393605,0.009047813316369752,4.81419918463701e-06,37.294196234197436,110.52394264045552,0.0021941283427905967
0.023450214761567764,0.01095918231739931,4.0700089845077924e-07,42.64353269970415,91.24768354408643,0.0006379662204621646
0.029926393697701902,0.007397516812621922,8.953747246423857e-07,33.41531926971848,135.18049709515526,0.0009462424238229787
0.023595819095206305,0.01140619004378082,1.0472382285061582e-06,42.38038933783649,87.67169371732905,0.0010233465827891146
