real_category,0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,18,19
Biological,147,5,6,2,22,28,267,106,5,199,45,2,48,53,4,1,14,8
Fibres,25,2,28,2,1,13,24,3,10,22,4,4,1,2,1,0,0,8
Films_Coated_Surface,34,7,0,1,34,13,71,62,5,50,4,2,9,10,3,0,0,4
