epoch,val_psnr,val_ssim,epoch_time_sec,lr
0,23.41469196679073,0.5914025386925472,39.98974275588989,5e-05
1,23.44079025149672,0.5926920066324,39.37335276603699,5e-05
2,23.399553103488074,0.5928450172843103,39.64002990722656,5e-05
3,23.434810952312503,0.5942507860184327,39.8377480506897,5e-05
4,23.467325632625045,0.5949682577373785,39.840402603149414,5e-05
5,23.426236384599914,0.5945165955257641,39.40548086166382,5e-05
6,23.450638782852295,0.5948113083025233,39.39448857307434,5e-05
7,23.433303354109412,0.5935280400422087,39.38364505767822,5e-05
8,23.46265650327616,0.593447510209908,39.40101432800293,5e-05
9,23.49863780223793,0.5950050199119561,39.44985103607178,5e-05
10,23.485993928061372,0.5936413938156538,39.383400678634644,5e-05
11,23.474776839284775,0.5937965052644574,39.44546461105347,5e-05
12,23.485925063406007,0.5939229778808631,39.32943320274353,5e-05
13,23.49028140785175,0.5951993917857586,39.34659695625305,5e-05
14,23.474987917062204,0.5945782416207017,39.48645210266113,5e-05
15,23.465360512297522,0.5948782203838375,39.33853459358215,2.5e-05
16,23.479193089757725,0.5948870183451318,39.351568937301636,2.5e-05
17,23.469306098677656,0.5949548767198193,39.33014535903931,2.5e-05
18,23.478411324621224,0.5940885141054209,39.343782901763916,2.5e-05
19,23.4774803309889,0.5951273938802497,39.41945457458496,2.5e-05
20,23.480743898656083,0.5938073483085771,39.313488483428955,2.5e-05
21,23.489238866044406,0.5941090111857159,39.32940936088562,1.25e-05
22,23.47214473469106,0.5943820513888382,39.32348155975342,1.25e-05
23,23.47388768898101,0.5943162892405703,39.39700675010681,1.25e-05
24,23.471664086350092,0.5942017525495097,39.390122413635254,1.25e-05
25,23.472010682185388,0.5945825562749932,39.38379788398743,1.25e-05
26,23.4675023320876,0.5944750149050183,39.51107954978943,1.25e-05
27,23.4681729902643,0.5943511137890112,39.34350538253784,6.25e-06
28,23.47335937701801,0.5939287087343323,39.46449065208435,6.25e-06
29,23.470824307928048,0.5941362397442976,39.382582664489746,6.25e-06
30,23.46970818375635,0.5941665870730344,39.47761511802673,6.25e-06
31,23.469639606835404,0.5940529184498612,39.42464470863342,6.25e-06
32,23.46326790896534,0.5941615152285377,39.34944486618042,6.25e-06
33,23.464354622558716,0.5940221087411807,39.34097385406494,3.125e-06
34,23.466865867877203,0.5940320272038273,39.451374769210815,3.125e-06
