config,params,best_epoch,epochs_run,wall_clock_sec,psnr,ssim,lpips,composite
higher_lr,"{'lr': 0.0004, 'batch_size': 16, 'sobel_weight': 0.1}",8,24,398.74909138679504,23.502771719956296,0.6013461791832639,0.1810340845559755,0.6623878475414582
stronger_sobel,"{'lr': 0.0002, 'batch_size': 16, 'sobel_weight': 0.2}",15,31,527.38445520401,23.459259934615464,0.6012607556625064,0.18487132462055494,0.660113364449883
baseline,"{'lr': 0.0002, 'batch_size': 16, 'sobel_weight': 0.1}",14,30,484.473757982254,23.495783018862824,0.5994108145075272,0.18586217649176381,0.6599780575355394
larger_batch,"{'lr': 0.0002, 'batch_size': 32, 'sobel_weight': 0.1}",20,36,507.89878129959106,23.411331763904027,0.5954843326504354,0.18778190007851867,0.6561526278329506
