epoch,psnr,ssim,lpips,composite,epoch_time_sec,lr
0,23.44904468876891,0.5926834433590397,0.19112834273680543,0.6549415821800538,54.37904238700867,5e-05
1,23.370731080948648,0.5923931539507385,0.18518631179094985,0.6550851936298995,54.31660485267639,5e-05
2,23.41118588296493,0.5937432456769761,0.18682277863426658,0.6558887308579016,55.09580445289612,5e-05
3,23.42574894901349,0.5946363698850782,0.18556349407462927,0.656929824137116,54.98390746116638,5e-05
4,23.452264631144665,0.5932526348076376,0.18593835519898808,0.6569328627838757,54.666348457336426,5e-05
5,23.428856816382208,0.5934923732916636,0.184845579024195,0.6568568606754275,54.77023768424988,5e-05
6,23.454540037475525,0.5942351451597655,0.1846639941959234,0.6577357178207368,53.07639145851135,5e-05
7,23.458289534009555,0.5938458987165783,0.18508934591153867,0.6575475072463366,53.516836166381836,5e-05
8,23.47773517073362,0.5949170085833552,0.18478200748939527,0.6584391152698448,53.99784231185913,5e-05
9,23.457687434038306,0.5960506688279548,0.1841231965867991,0.6585911003923475,55.155529499053955,5e-05
10,23.475651616373785,0.5937538805013142,0.1846249985581871,0.6580574410115709,54.33057475090027,5e-05
11,23.476802150218646,0.5953678823162512,0.18389484247590385,0.6588643943960857,53.11618900299072,5e-05
12,23.477330823085772,0.5947140101514171,0.18598208128045615,0.6579624390255596,53.12545084953308,5e-05
13,23.479578214907992,0.5940864792903506,0.18350836570280488,0.6586277759715817,52.651965618133545,5e-05
14,23.493768772474365,0.5950694472031512,0.1851193975981618,0.6587337670344268,53.928274631500244,5e-05
15,23.47597247503394,0.5975238717977368,0.18291708103935705,0.659890540809103,55.391725301742554,5e-05
16,23.525409462068115,0.5933430866225532,0.1889980371172927,0.6575685601032671,53.343326807022095,5e-05
17,23.521104112639293,0.595201793561949,0.18703303446344446,0.6587474555359303,52.90110898017883,5e-05
18,23.507296327129993,0.5946269882916498,0.18601228620103571,0.6585892635219823,53.393311977386475,5e-05
19,23.490292077659515,0.5947585659971595,0.18546175210621585,0.658438761911637,53.6919960975647,5e-05
20,23.490964896686794,0.5938030661736895,0.1860829745471645,0.6579281393574371,54.760287046432495,5e-05
21,23.494385566100952,0.5941330273870501,0.1863585866809812,0.6580222705931552,55.56410789489746,5e-05
22,23.487563564301578,0.5949872333512546,0.18602905087068342,0.6582652511446698,52.89843201637268,5e-05
23,23.48753888054728,0.594749482234191,0.18508064442868816,0.6585015877251071,53.095927238464355,2.5e-05
24,23.484216564021494,0.5954579847156098,0.18499964449994183,0.6586909259390337,53.695653200149536,2.5e-05
25,23.49412894057051,0.5948151817408555,0.18631858664847326,0.6582572859323609,53.79122972488403,2.5e-05
26,23.498995430829346,0.5949398168576144,0.18661905569809206,0.6583068188493818,53.02775764465332,2.5e-05
27,23.483447526255194,0.5944102682544452,0.18702084009713504,0.6576508655247744,52.948598861694336,2.5e-05
28,23.49848488691194,0.5942851400859245,0.1873721931276194,0.6578262020285892,53.342435359954834,2.5e-05
29,23.49256347325122,0.5944278215821616,0.18736179742773765,0.6577456407903907,53.45901870727539,2.5e-05
30,23.47943223988889,0.5940017518977493,0.18689931235328483,0.6574659740679079,52.94937252998352,1.25e-05
31,23.48148265726895,0.5943166645518714,0.18779777689952026,0.6573170216012048,53.398181200027466,1.25e-05
32,23.477118957508424,0.5945554439279973,0.18790451356136564,0.6572640647335088,52.726584911346436,1.25e-05
33,23.47382666748457,0.5945442423528291,0.18766512465924862,0.6572669651752949,53.348801136016846,1.25e-05
34,23.470863012345312,0.5945687247480996,0.18781892257334476,0.6571580009992586,54.24445819854736,1.25e-05
35,23.47315445733024,0.594450485454365,0.18850554259535804,0.6569406355603409,54.279350996017456,1.25e-05
36,23.47607384687311,0.5940215721438468,0.18831551768764687,0.6569258814159135,53.3063428401947,1.25e-05
37,23.477097492849364,0.5941514151538226,0.1888021055891524,0.6568297141404315,53.03494191169739,6.25e-06
38,23.472793738907615,0.5941648849901661,0.18879172755300663,0.6567420244547779,52.54923748970032,6.25e-06
39,23.46967415868451,0.5943406543964678,0.18899674767502742,0.656662950211247,52.619641065597534,6.25e-06
40,23.46953884692478,0.5940293233032448,0.18915565255924724,0.6565031979574387,53.24152994155884,6.25e-06
