file,psnr,ssim,lpips
000015.npy,24.186286964099175,0.6465641598636312,0.13607192039489746
000030.npy,23.35682339388649,0.6115511938204765,0.17978884279727936
000088.npy,22.071849230878378,0.5663558864776482,0.20266929268836975
000093.npy,22.553518694117702,0.38078394733995313,0.21726727485656738
000167.npy,22.347827635977225,0.6445661964743026,0.14154869318008423
000194.npy,21.33803737320357,0.3194837561392793,0.1561110019683838
000215.npy,20.78717967757536,0.45577471342220904,0.18153047561645508
000295.npy,24.527833252015014,0.5839222575278096,0.20278435945510864
000318.npy,22.625771519136094,0.6129828458380364,0.18836790323257446
000319.npy,22.73959643470926,0.6280326980754612,0.1467980295419693
000347.npy,20.016825455406504,0.4504483046786281,0.2057734876871109
000366.npy,24.244445813949362,0.4557449829870678,0.15616357326507568
000371.npy,25.098451230020373,0.4663362935612947,0.1775655597448349
000388.npy,23.050083467858546,0.47469517633701863,0.1657928228378296
000424.npy,19.9192185669535,0.46039225236270087,0.18765857815742493
000432.npy,22.851015654579037,0.5755531338717907,0.16663935780525208
000439.npy,23.456523313404286,0.37728459656284,0.1783718317747116
000520.npy,23.224800170479696,0.5274291859403715,0.1972927302122116
000562.npy,23.410236960620953,0.5880052314724363,0.1552174687385559
000596.npy,22.231450266993775,0.5251016710209176,0.23462674021720886
000630.npy,21.70228359179884,0.5444486275222757,0.17183542251586914
000653.npy,20.93020760649908,0.4358330250972002,0.18255430459976196
000743.npy,20.94859606612718,0.48693730050346534,0.1866481900215149
000813.npy,23.877786841022008,0.5857244397742432,0.1271248310804367
000819.npy,25.48472679884526,0.43209456072975694,0.1434740275144577
000889.npy,23.30582883268321,0.6078420342975147,0.14818856120109558
001014.npy,20.43322561665711,0.5694481897165552,0.1503293663263321
001100.npy,20.608896246244854,0.45275023125422376,0.15761956572532654
001119.npy,26.12181393246025,0.48061654533711823,0.12794871628284454
001122.npy,22.021921432334008,0.4978546814037785,0.20479565858840942
001132.npy,22.616878258348127,0.3075021609779651,0.13160642981529236
001199.npy,22.8531892139841,0.640028182046704,0.15929871797561646
001221.npy,21.236935575770612,0.44870753491185744,0.20029602944850922
001272.npy,22.57230198686209,0.5557302845660677,0.18300527334213257
001316.npy,23.706952107451166,0.614339799603967,0.1520908772945404
001342.npy,22.573745141806878,0.6035380059638992,0.2030242532491684
001361.npy,23.457314736953702,0.4787463424231408,0.17738127708435059
001409.npy,21.22333679495314,0.6047675768978186,0.15022072196006775
001415.npy,25.271329086263847,0.45750846414897356,0.25524571537971497
001436.npy,24.88319769948429,0.34113704450675475,0.13450810313224792
001590.npy,23.343295687329505,0.6164464109607423,0.15364030003547668
001592.npy,22.277498949193884,0.6219699206056968,0.17126592993736267
001664.npy,21.117057130547813,0.29484628114669864,0.1386687159538269
001666.npy,22.377941794096753,0.7152426208247542,0.13460028171539307
001672.npy,21.35257183951563,0.3395323778246953,0.19651982188224792
001727.npy,24.08217132833151,0.5576791577373964,0.13697808980941772
001733.npy,20.806514479990085,0.3182229169760059,0.19800515472888947
001747.npy,21.73662745306059,0.5305166756933362,0.16132080554962158
001754.npy,22.19184606884052,0.5579252008744916,0.11039724946022034
001793.npy,23.43125991821467,0.6006170309243449,0.18515470623970032
001825.npy,21.66506248459217,0.6178895166022975,0.1699908822774887
001835.npy,21.10576685061669,0.4631561149590854,0.18741309642791748
001891.npy,29.525844355416314,0.7365676922279037,0.14808614552021027
001992.npy,29.3360757895997,0.744052501827836,0.11652890592813492
002203.npy,27.958964762665268,0.7905444260425106,0.0866812914609909
002230.npy,25.025261355396637,0.47174215691376664,0.1351320743560791
002241.npy,26.273293122738856,0.7276803953009956,0.13954168558120728
002243.npy,26.28852522975101,0.7027590872583529,0.15521740913391113
002253.npy,25.041803634446595,0.7002858405338526,0.14263375103473663
002284.npy,19.70299125561081,0.34209714163436256,0.2201920747756958
002308.npy,22.61812689620926,0.7259959351706841,0.12932613492012024
