severity,severity_multiplier,L_gain,K_poisson,sigma_A,mean_psnr_model,mean_ssim_model,mean_psnr_classical,mean_ssim_classical,n_non_finite_model_outputs
1.0x (worst seen in training),1.0,29.320252184569952,31.065673426601712,0.0151402439385018,19.891156156799095,0.4019642815521441,17.237123707218437,0.32905144357934313,0
1.25x,1.25,23.45620174765596,24.85253874128137,0.01892530492312725,18.89233498621687,0.35935878112667063,16.44100294095933,0.29787631268400416,0
1.5x,1.5,19.5468347897133,20.710448951067807,0.0227103659077527,18.113540342375433,0.32497209153086964,15.781753519603821,0.27227912328061676,0
1.75x,1.75,16.754429819754257,17.75181338662955,0.02649542689237815,17.489221377357577,0.29935431569879,15.23082341543795,0.25209769172624197,0
2.0x,2.0,14.660126092284976,15.532836713300856,0.0302804878770036,17.007134705313945,0.2782680562005237,14.747534219935066,0.23407159006834674,0
