file,cluster,psnr,ssim,lpips,composite
000015.npy,0,24.33285083219927,0.6399010549525339,0.16902178525924683,0.6976897750577461
000030.npy,0,23.27618269661775,0.5899097696541995,0.22336335480213165,0.6394306426533058
000088.npy,0,22.038288131428246,0.5509942542837262,0.2357596457004547,0.5948179391150514
000093.npy,0,22.534043472554117,0.3482072554216194,0.21510346233844757,0.5451244526400376
000167.npy,0,22.17824580498233,0.6311400419797227,0.18265357613563538,0.6423453953920808
000194.npy,0,21.212752810442925,0.2702865000376315,0.17997191846370697,0.5014993674233731
000215.npy,0,20.62979875205473,0.4244120226021917,0.23745611310005188,0.5207586087685961
000295.npy,0,24.280363136825382,0.5644068877874278,0.2389567792415619,0.6480469947780748
000318.npy,0,22.41159045625322,0.6056266319106203,0.21879225969314575,0.6269801342114518
000319.npy,0,22.675809741671188,0.6176233219465916,0.19941963255405426,0.643308112945761
000347.npy,0,19.87066475682815,0.4109556150973141,0.22187983989715576,0.5045955863295671
000366.npy,0,23.900127754679605,0.43381199557427536,0.21890297532081604,0.6027502901884776
000371.npy,0,24.721305192851265,0.43917400608760493,0.2828868627548218,0.601458052063178
000388.npy,0,22.805900225308967,0.4627066806010871,0.19449979066848755,0.5962000794288436
000424.npy,0,19.823726820607554,0.43883173129951253,0.21400873363018036,0.5154682619032785
000432.npy,0,22.744096137535827,0.558036797882657,0.19699282944202423,0.6257723480921182
000439.npy,0,23.331881014022954,0.35235415853784235,0.21821531653404236,0.5631991920906656
000520.npy,0,23.018188490971866,0.5173841825313482,0.2162281721830368,0.6119006365821452
000562.npy,0,23.285712103148203,0.5674297376803328,0.2887548804283142,0.6103518880428551
000596.npy,0,22.108163165779406,0.5144351508618789,0.2629925012588501,0.5751067313294408
000630.npy,0,21.656571174831065,0.5256847443692843,0.21064519882202148,0.5862703190675557
000653.npy,0,20.77278549239039,0.42109453141880604,0.21228095889091492,0.5312219795624168
000743.npy,0,20.77021817613047,0.4661889143462032,0.2039206475019455,0.548983159528763
000813.npy,0,23.795065701879025,0.5583998139651916,0.1883203089237213,0.6521390728333573
000819.npy,0,25.365776530780508,0.41799724650134146,0.15437668561935425,0.6515574432002291
000889.npy,0,23.34449982295425,0.6022383068961059,0.16844598948955536,0.6633641018678336
001014.npy,0,20.308298907320488,0.5510932815516246,0.1683257818222046,0.578884697850262
