file,spearman_r,spearman_p
004514.npy,0.22788522195597877,0.0
004623.npy,0.16471151553386132,0.0
000008.npy,0.1442852298209592,8.965887518738756e-302
000092.npy,0.1013701720862092,3.154982947175824e-149
000102.npy,0.11498091987914444,1.1005196863961423e-191
000134.npy,0.09594984459689429,7.809356127950922e-134
000231.npy,0.08733648153536683,3.889747917805257e-111
000346.npy,0.11747538120776603,4.6523165186013255e-200
000349.npy,0.09059862739524396,1.7701823044996743e-119
000450.npy,0.1700945200217597,0.0
000478.npy,0.15916923081999584,0.0
000506.npy,0.1398071401145233,2.7740894258719283e-283
000518.npy,0.11502606960095443,7.792315032139901e-192
000649.npy,0.08570933929689528,4.3169136651032105e-107
000690.npy,0.07675297260273148,3.3673785386651124e-86
000772.npy,0.09135075144913198,1.9088059134795563e-121
000800.npy,0.10866301074902002,2.6797438521602613e-171
000880.npy,0.14001639586580975,3.9135493075627376e-284
000933.npy,0.07877548558775704,1.029159195480477e-90
000980.npy,0.1582696404539017,0.0
001105.npy,0.10409789641765275,2.671548147719368e-157
001107.npy,0.11905362572036499,1.880460605932341e-205
001114.npy,0.12031134580094544,8.380916626925282e-210
001127.npy,0.12941179802766037,1.0929337791896108e-242
001236.npy,0.09517788462677665,1.0353270584812484e-131
001391.npy,0.08069686958315118,4.109798546399681e-95
001401.npy,0.14270434360389164,3.543816659382329e-295
001402.npy,0.1301379855791972,2.032478123216884e-245
001560.npy,0.13777096683913204,4.472140625741153e-275
001561.npy,0.0995666753568374,5.204090514634965e-144
001888.npy,0.2652436521279393,0.0
001901.npy,0.46102757239742576,0.0
001914.npy,0.24172766470101612,0.0
002628.npy,0.21035984911785952,0.0
000538.npy,0.5725179769775159,0.0
001056.npy,0.16370139554317611,0.0
002110.npy,0.3261826460645295,0.0
002112.npy,0.3705029543899282,0.0
002257.npy,0.1526360252586545,0.0
002712.npy,0.3340912823319599,0.0
002898.npy,0.5640416088350121,0.0
002910.npy,0.45247645983027296,0.0
002982.npy,0.4480588187880713,0.0
003000.npy,0.2769066512057761,0.0
003004.npy,0.4365086292795759,0.0
003070.npy,0.15019022546311844,0.0
003803.npy,0.3682956379791707,0.0
004200.npy,0.6052955980676288,0.0
004244.npy,0.559690745264008,0.0
004349.npy,0.38499487463178783,0.0
004451.npy,0.3865335907753815,0.0
004523.npy,0.34520146357156767,0.0
004540.npy,0.3575044994765934,0.0
004713.npy,0.08073221083219019,3.403393879036373e-95
000445.npy,0.10258591458720127,8.475743911045776e-153
001023.npy,0.12626891901605786,4.72661578535061e-231
001077.npy,0.1624826862354379,0.0
001079.npy,0.15294278333379047,0.0
001252.npy,0.09981676458948524,9.966660048290577e-145
002247.npy,0.24723046942819663,0.0
002272.npy,0.1917821536524548,0.0
002273.npy,0.20468903777850384,0.0
002514.npy,0.13977931991560857,3.598322787858251e-283
002592.npy,0.2236510271596089,0.0
002635.npy,0.21623459136109377,0.0
002710.npy,0.27512843869171855,0.0
002833.npy,0.15571795489354964,0.0
002952.npy,0.10599269247292407,4.9075781722842634e-163
002961.npy,0.1993842881263016,0.0
000570.npy,0.24526006126809535,0.0
000605.npy,0.06938021971315277,9.670167640963797e-71
000623.npy,0.19904919739369578,0.0
000633.npy,0.1282213764053528,3.024372989124439e-238
001067.npy,0.21951193856269183,0.0
001080.npy,0.2112079737758075,0.0
001203.npy,0.2843026246341178,0.0
001399.npy,0.15398710832406273,0.0
001685.npy,0.33150455025101094,0.0
001783.npy,0.2209847322211384,0.0
001844.npy,0.12912793593397076,1.2637691046582365e-241
001864.npy,0.2147876233943528,0.0
001895.npy,0.3711584749597986,0.0
001993.npy,0.12702009093906902,8.323265753268769e-234
001995.npy,0.4591015001128723,0.0
002017.npy,0.2861667632167226,0.0
002031.npy,0.14076800387296928,3.362466162511025e-287
002102.npy,0.17892932887702717,0.0
002127.npy,0.227954931571544,0.0
002129.npy,0.29402180744969497,0.0
002256.npy,0.05867621853068836,4.4111063281525673e-51
002323.npy,0.20840430964273238,0.0
002333.npy,0.07354332066464075,2.815395151901405e-79
002436.npy,0.26987533830697447,0.0
002539.npy,0.22531513868324604,0.0
002642.npy,0.08941938374351928,1.9920074982569415e-116
002674.npy,0.12122616003937094,5.3587393460961766e-213
002734.npy,0.37248552199425083,0.0
002781.npy,0.46850822024506716,0.0
002936.npy,0.21844659588690388,0.0
003021.npy,0.7372613721892054,0.0
003041.npy,0.22260211121820636,0.0
003190.npy,0.37723865373896376,0.0
003209.npy,0.375636839482066,0.0
003325.npy,0.32105881066087455,0.0
003388.npy,0.2942894476347831,0.0
003458.npy,0.38122463262976175,0.0
003535.npy,0.24883155948204436,0.0
