epoch,val_psnr,val_ssim,epoch_time_sec,lr
0,22.338102515550332,0.5405334900593961,17.5422682762146,0.0002
1,22.732282989803966,0.5569293034420342,15.61970329284668,0.0002
2,23.04094653080988,0.5732645245836251,15.834852933883667,0.0002
3,23.171064840891134,0.578382687796099,15.702744960784912,0.0002
4,23.13132000466757,0.578681715422691,15.719871997833252,0.0002
5,23.25672417626617,0.5793963742762527,15.837855339050293,0.0002
6,23.232553276766154,0.5860912429236723,16.005489110946655,0.0002
7,23.337567514014715,0.5906147874685307,15.558006286621094,0.0002
8,23.427645636838974,0.5913829167833161,15.506825685501099,0.0002
9,23.437112535500468,0.5922451994088717,15.658979654312134,0.0002
10,23.39135430360758,0.596537442252117,15.924571990966797,0.0002
11,23.49379634957581,0.5959600803802426,15.852194547653198,0.0002
12,23.465512045706596,0.5980964278357903,15.925914764404297,0.0002
13,23.50912811169257,0.5977090109925872,15.705021619796753,0.0002
14,23.495783018862824,0.5994108145075272,15.745280504226685,0.0002
15,23.460104330322235,0.6006541593272361,15.863298654556274,0.0002
16,23.450371375126338,0.6015949138229174,15.84651780128479,0.0002
17,23.467099608840194,0.6000093232762315,15.831658840179443,0.0002
18,23.46267984002697,0.5978854548887702,15.641592264175415,0.0002
19,23.464673241359055,0.599534786485947,15.543628215789795,0.0002
20,23.402475338715305,0.5990038153505087,15.912726402282715,0.0002
21,23.416155849436322,0.598673328495521,15.706043004989624,0.0002
22,23.448057713657914,0.5978574418794821,15.77284860610962,0.0001
23,23.42702465089597,0.5977680856121652,15.679338216781616,0.0001
24,23.419960971257137,0.597274548992869,15.730568647384644,0.0001
25,23.414812267982413,0.5967540051133728,15.83483099937439,0.0001
26,23.39454723428246,0.5966701435892204,15.790156841278076,0.0001
27,23.378434883779068,0.5957400398777806,15.776181697845459,0.0001
28,23.373177486047496,0.5961806124990643,15.625468015670776,0.0001
29,23.357809943594216,0.5959576244356455,16.17041039466858,0.0001
30,23.350196348387076,0.5954290503579533,16.389355659484863,0.0001
31,23.355606563923708,0.5944991557202425,16.01168155670166,5e-05
32,23.335950561141313,0.594381507252324,16.19857907295227,5e-05
33,23.331444164031023,0.5937528948466174,16.274903297424316,5e-05
34,23.322695547908285,0.593356811399432,16.249614238739014,5e-05
35,23.311154564306143,0.593134775472338,16.143839836120605,5e-05
36,23.311400423917718,0.5933131894775214,15.651587724685669,5e-05
37,23.305325510025128,0.5926313665734827,15.718034029006958,5e-05
38,23.2992472356944,0.5922793121648121,15.502846479415894,5e-05
39,23.287121738028556,0.592173835387478,15.855915069580078,5e-05
40,23.272445614346104,0.5918710041850981,15.625716924667358,2.5e-05
41,23.272098717927225,0.5913683866804277,15.687034130096436,2.5e-05
42,23.264101545511483,0.5911115095877046,15.665874242782593,2.5e-05
43,23.258636946860978,0.5910927780651392,15.71269941329956,2.5e-05
44,23.254035353368323,0.5906427049865921,15.743749380111694,2.5e-05
45,23.25458593580218,0.5904801566010457,15.583784103393555,2.5e-05
46,23.248904607275318,0.5902518667813205,15.683391094207764,2.5e-05
47,23.24558401490191,0.5905419432705824,15.77238154411316,2.5e-05
48,23.241246127046743,0.5900319622316534,15.491223812103271,2.5e-05
49,23.235540623791753,0.5899961889651951,15.475674867630005,1.25e-05
50,23.230001711930896,0.5895345523871968,15.879141807556152,1.25e-05
51,23.225646582216704,0.5894815178688558,15.688547611236572,1.25e-05
52,23.23024962971256,0.5893896471140578,15.847498416900635,1.25e-05
53,23.222585521861067,0.589299465022418,16.45050597190857,1.25e-05
