cluster,n,mean_psnr,std_psnr,mean_ssim,std_ssim
0,75,22.93513375814416,1.975675677320316,0.5209147887111589,0.12675875244362814
1,55,24.117359230620494,1.9339364135327775,0.6574972578420286,0.1350353476273387
2,32,23.01097981454908,2.203565744260926,0.5650685005568234,0.1236704424230768
3,20,25.690565604767947,2.480403997550384,0.6613460327842907,0.1566438520621881
4,15,24.59352027952461,1.9011607134835802,0.5493839762516134,0.1448842416943671
5,55,26.28442834976603,3.2389253586178635,0.6682349505444221,0.13848359213998251
6,78,22.647851146347456,2.5307634331304616,0.466997826845454,0.1377651931797587
7,37,22.491876231301323,2.398563435365582,0.48180089765317,0.12897273711966606
8,68,26.06455678405614,2.8571511231830526,0.750697707008631,0.11144732418617247
9,2,13.313043505677534,0.8415428190694628,0.32736288528233215,0.004232755782906436
10,48,22.063465848236635,2.496877415877606,0.4476250735761378,0.12331648723743582
11,41,19.692099306849546,1.1690406959746675,0.6085776472065481,0.11486133656072778
12,27,25.27415112837018,2.835362731459667,0.5893907450388456,0.15810579733880775
13,46,22.56669465714405,2.4858331068341175,0.661662596933995,0.12181261496652658
14,46,19.22595539942405,1.9280177642694845,0.6494981263446538,0.10329128610057688
15,19,28.44156015943263,3.4215187177576585,0.7389249503588227,0.12179651680876609
16,3,25.20331183824906,3.0601447882332975,0.5793895845805909,0.25038457796736147
17,16,28.03664914128841,2.8189578574886713,0.6896156274521076,0.1352546135053312
18,14,21.511049087009102,1.7037542756843655,0.5782203186876803,0.12799838973565453
19,15,26.161704713452437,4.308630315808534,0.7006081050118227,0.13236581706229172
