cluster,n,mean_psnr,std_psnr,mean_ssim,std_ssim
0,75,22.910304653177285,1.9788866388393815,0.5213009672760464,0.12628526385172445
1,55,24.09252303371492,1.9304410668728078,0.6564980483432039,0.13457438925966075
2,32,23.00119957695943,2.20929120116083,0.5654047084008627,0.12307214037323298
3,20,25.710107767345562,2.5113760495350004,0.6624398415869022,0.15685691020852952
4,15,24.563550619651604,1.8717713678820311,0.5470202295593267,0.14317159793669593
5,55,26.273955274398578,3.24953359952453,0.6677384310112223,0.13923643872826477
6,78,22.610813711257606,2.504958569189959,0.4671462143785403,0.13630772235770292
7,37,22.419663198225802,2.3770541180656117,0.48346646321210884,0.12533103538998525
8,68,26.042479500166902,2.8544234357411398,0.7496176416998205,0.1111994853208194
9,2,13.278065984076378,0.8632923972393315,0.32618550089383325,0.0006227388606939938
10,48,22.014893397679142,2.5108035520331895,0.44990223268677193,0.12200762259054541
11,41,19.66890350893865,1.163606407331282,0.6075374225896817,0.11484109365458618
12,27,25.263057166198937,2.83164387774595,0.589440184400599,0.1578635790451197
13,46,22.541252212486583,2.495770187512072,0.6610137504154394,0.1206076716331871
14,46,19.20286803714662,1.9281470044858828,0.6491824830298902,0.10288701255117852
15,19,28.42383235662256,3.4163447624650227,0.7386033227670377,0.1223823272532138
16,3,25.17518973110931,3.1480435991651596,0.5735029067494981,0.24466774929729426
17,16,28.038128318293516,2.834545156371506,0.689764602301929,0.13487779477532533
18,14,21.483521369653868,1.7060221498735864,0.5765568267157801,0.126811783615717
19,15,26.11830165088974,4.27456835909565,0.6996030293519456,0.13013618289239104
