epoch,psnr,ssim,epoch_time_sec,lr
0,23.172441169909202,0.6165963965033692,16.18985939025879,5e-05
1,23.092192646233457,0.6153625318224302,16.672801971435547,5e-05
2,23.162213076011263,0.6144743194010338,16.501808404922485,5e-05
3,23.11108090880921,0.6136330287138029,16.222952842712402,5e-05
4,23.12051311645193,0.613175512783042,16.15285086631775,5e-05
5,23.12355975326502,0.6121718904647717,16.12830901145935,2.5e-05
6,23.115259722078367,0.6122542198255114,16.406249284744263,2.5e-05
7,23.081948357832548,0.6117659606729476,16.452034950256348,2.5e-05
8,23.088999071458495,0.6117419170259513,16.45255470275879,2.5e-05
9,23.06299345951319,0.6114590785431002,16.54994773864746,2.5e-05
10,23.065562413571445,0.6109127871095811,16.034956693649292,1.25e-05
