epoch,val_psnr,val_ssim,epoch_time_sec,lr
0,22.338102515550332,0.5405334900593961,15.495625019073486,0.00019997806834748456
1,22.728535090443977,0.5535081537245907,14.880611181259155,0.00019991228300988585
2,22.991354217302867,0.5731640198887292,14.857547998428345,0.00019980267284282717
3,23.17677794982326,0.5775672019813765,14.877662658691406,0.00019964928592495045
4,23.14054741800545,0.5794968455233535,14.906858921051025,0.00019945218953682734
5,23.244325403780923,0.5792016534441793,14.916111469268799,0.0001992114701314478
6,23.23871558239989,0.5867283878881189,14.856246709823608,0.00019892723329629884
7,23.32623053681188,0.5918841412111921,14.880410194396973,0.00019859960370705048
8,23.399367252411317,0.5933020724791483,14.868854522705078,0.00019822872507286885
9,23.465080982938783,0.5915295390138774,14.863349676132202,0.00019781476007338052
10,23.411700598043076,0.596210456868697,14.876339673995972,0.00019735789028731598
11,23.481368856304922,0.5949424278810952,14.860337495803833,0.00019685831611286308
12,23.433424871727215,0.5984553229076084,15.022661447525024,0.0001963162566797658
13,23.483065963141588,0.5975757922307565,14.846529006958008,0.00019573194975320668
14,23.482416171632934,0.6000172524425406,14.861835241317749,0.00019510565162951534
15,23.46945502929617,0.5989956575546502,14.907116413116455,0.0001944376370237481
16,23.454171784793584,0.6008103533196657,14.882054567337036,0.00019372819894918913
17,23.449323467954077,0.59845992398642,14.90204405784607,0.0001929776485888251
18,23.45046513698724,0.5997836791809098,14.863767385482788,0.00019218631515885003
19,23.461633839964424,0.5989562868668049,14.904398441314697,0.00019135454576426006
20,23.438783371066002,0.599905245659146,14.903368949890137,0.00019048270524660193
21,23.472511223769054,0.5974242220143832,14.867961168289185,0.00018957117602394125
22,23.424615605910486,0.59852552396849,14.899285554885864,0.00018862035792312142
23,23.43241494801019,0.5975684350457978,14.857595205307007,0.0001876306680043863
24,23.41500896862369,0.5994415393788964,14.858626127243042,0.0001866025403784438
25,23.407562920067974,0.5983047438805554,14.885865449905396,0.00018553642601605062
26,23.417858973466615,0.5964594113712502,14.85392951965332,0.00018443279255020146
27,23.39142685368159,0.5954317013955546,14.887936353683472,0.0001832921240710099
28,23.381188765677837,0.5960318002823081,14.886528730392456,0.00018211492091337034
29,23.401909057008268,0.59477001396701,14.89717721939087,0.00018090169943749468
30,23.380771003619255,0.5960467034870393,14.884081363677979,0.00017965299180241955
31,23.35352506281502,0.5945511887160094,14.882508039474487,0.00017836934573258392
32,23.334315479503168,0.5949692000877974,14.907563209533691,0.00017705132427757887
33,23.364676208649133,0.594872628792635,14.972615957260132,0.00017569950556517558
34,23.336168537692306,0.5950205562252087,14.868382453918457,0.00017431448254773938
35,23.325617884391644,0.5946491624300186,14.876648902893066,0.0001728968627421411
36,23.317839501122332,0.5950265376173464,14.89127492904663,0.00017144726796328028
37,23.328771314732027,0.5927259412999972,14.902464389801025,0.00016996633405133652
38,23.306201565822224,0.5934618053520873,14.905277729034424,0.00016845471059286885
