epoch,val_l1_loss,epoch_time_sec,lr
0,0.034275871184137136,6.950162172317505,0.001
1,0.0331090928779708,3.6901180744171143,0.001
2,0.03282774968279733,3.6367130279541016,0.001
3,0.032730966516666946,3.6456851959228516,0.001
4,0.032667282472054165,3.663306474685669,0.001
5,0.032632597535848615,3.6413557529449463,0.001
6,0.03255760831137498,3.6116950511932373,0.001
7,0.03252781356374423,3.647702217102051,0.001
8,0.03250245451927185,3.6614341735839844,0.001
9,0.03248020323614279,3.5949716567993164,0.001
10,0.032456962515910466,3.673129081726074,0.001
11,0.032458677515387536,3.634695053100586,0.001
12,0.03243874986138609,3.691272735595703,0.001
13,0.032419697153899404,3.7086548805236816,0.001
14,0.032424136913484995,3.7166550159454346,0.001
