epoch,psnr,ssim,epoch_time_sec,lr
0,23.437229959199833,0.6184713212984254,16.830835819244385,5e-05
1,23.401631756172087,0.6184889981167905,16.549347162246704,5e-05
2,23.444929545398644,0.6173412948305587,16.3999662399292,5e-05
3,23.41888516315204,0.6173700513961852,16.595563888549805,5e-05
4,23.416629654935033,0.6171511345064501,16.20156693458557,5e-05
5,23.42538482046812,0.6169188247791331,16.555811405181885,5e-05
6,23.385469100681302,0.6165493431868468,16.35778832435608,5e-05
7,23.396347487667914,0.6166225975309337,16.36611557006836,2.5e-05
8,23.379691073199538,0.615781026534093,16.273427963256836,2.5e-05
9,23.368384850472033,0.6158649137726813,16.20746636390686,2.5e-05
10,23.37197044797085,0.6155353522808359,16.30924129486084,2.5e-05
11,23.363733871461275,0.6155798075078504,16.36216640472412,2.5e-05
12,23.356376365912478,0.6152168789615574,16.26485848426819,1.25e-05
